Title,Artist_name,Time_duration
Hum Tum," Mohammed Rafi, Anand Bakshi,",5:29
Hazaar Raahen," R.D. Burman, Asha Bhosle,",5:22
Dil Cheez Kya Hai," Asha Bhosle,",6:11
Phir Chiddi Raat," S. D. Burman, Kishore Kumar,",5:10
Raat Baaqi Baat Baaqi," Kishore Kumar, Asha Bhosle,",7:32
Lambi Judaai," Kishore Kumar,",6:30
Aye Dil-E-Nadaan (Revival)," Kishore Kumar,",7:52
Kate Nahin Kat Te," Manna Dey,",6:38
Chandni O Meri Chandni," Asha Bhosle, R.D. Burman,",4:42
Tirchi Topiwale (Part 1)," Kishore Kumar, Mahendra Kapoor,",6:32
Na Jane Kahan Se," Asha Bhosle, Kishore Kumar,",6:11
Aaj Kahin Na Ja," Kishore Kumar,",4:30
Chahe Meri Jaan Tu Le Le," R.D. Burman, Kishore Kumar,",5:37
Manzilen Apni Jagah Hai," Kishore Kumar,",5:55
Jab Hum Jawan Honge," R.D. Burman, Kishore Kumar,",7:33
Mere Angne Mein (Male)," Kalyanji Anandji, Manna Dey,",5:18
Zindagi Pyar Ka Geet Hai- Male," Lata Mangeshkar, Shailendra Singh,",4:49
"Jaane Do Naa (From ""Saagar"")"," S. D. Burman, Lata Mangeshkar, Kishore Kumar,",5:03
Mere Naseeb Mein (Naseeb / Soundtrack Version)," Mohammed Rafi,",6:18
Jab Chhaye Mera Jadoo," Kalyanji Anandji,",5:24
Boom Boom," R.D. Burman, Kishore Kumar,",5:19
Thoda Hai," O. P. Nayyar, Shamshad Begum, Asha Bhosle, Mohammed Rafi,",7:24
Har Kisiko Nahin Milta Yahan Pyar (Janbaaz / Soundtrack Version)," Mohammed Rafi, Asha Bhosle,",4:56
Dilbar Mere Kab Tak Mujhe," S. D. Burman, Hemant Kumar,",4:48
Sach Mere Yaar Hai (Saagar / Soundtrack Version)," O. P. Nayyar, Mohammed Rafi, Geeta Dutt,",6:52
